item|description
Black Umbrella|Left near the library entrance with a wooden handle and a small tear on the edge
Red Water Bottle|Found in the gym. Stainless steel with motivational time markers
ID Card|Mapua University ID with a faded lanyard and partly scratched name
Wireless Earbuds|Found in Engineering Building hallway. Black case labeled JBL
Laptop Sleeve|Black padded interior. Found in Room 403 with no device inside
Graphing Calculator|Casio fx-991EX found during cleanup in Physics Lab
Wallet|Brown leather. Contains student meal card and several receipts
PE Shoes|White rubber shoes with blue laces left in men's locker room
USB Flash Drive|16GB Kingston drive found plugged into library computer
Notebook|Green spiral notebook labeled Thermodynamics Notes found on cafeteria table
